Name,lat,lon
RoCSI 1,50.55416667,-1.087666667
CPR 1,50.544,-1.246
RoCSI 2,50.491,-1.426833333
RoCSI 3,50.44331667,-1.7135
RoCSI 4,50.40916667,-1.901733333
CPR 2,50.403,-1.996
RoCSI 5,50.34653,-2.280018
RoCSI 6,50.235538,-2.937670033
CPR 3,50.239,-3.003
RoCSI 7,50.183187,-3.235098
RoCSI 8,50.134963,-3.5354333
RoCSI 9,50.084509,-3.83275
CPR 4,50.067,-4.006
RoCSI 10,49.994235,-4.373344
RoCSI 11,49.945623,-4.655937
RoCSI 12,49.897455,-4.947715
CPR 5,49.886,-4.999
RoCSI 13,49.80566667,-5.219166667
RoCSI 14,49.704586,-5.484046667
CPR 6,49.553,-5.889
RoCSI 15,49.512384,-5.988773333
RoCSI 16,49.415053,-6.245285
RoCSI 17,49.331203,-6.463007
RoCSI 18,49.242666,-6.695571667
CPR 7,49.223,-6.774
RoCSI 19,49.154547,-6.92776
RoCSI 20,49.04076667,-7.211975
RoCSI 21,48.970582,-7.400566
CPR 8,48.901,-7.661
RoCSI 22,48.78509,-7.891172667
RoCSI 23,48.708748,-8.140744
RoCSI 24,48.615106,-8.413035
CPR 9,48.572,-8.538
RoCSI 25,48.525795,-8.646405
RoCSI 26,48.432548,-8.90101016
RoCSI 27,48.342885,-9.135925
RoCSI 28,48.251073,-9.367087
CPR 10,48.238,-9.403
RoCSI 29,48.296508,-9.865574
RoCSI 30,48.33428333,-9.665179333
CPR 11,48.363,-9.877
RoCSI 31,48.380282,-10.13923667
RoCSI 32,48.39141,-10.39144
CPR 12,48.419,-10.618
RoCSI 33,48.40982667,-10.63191467
RoCSI 34,48.428224,-10.86247
RoCSI 35,48.44940233,-11.11885017
CPR 13,48.501,-11.612
RoCSI 36,48.482918,-11.612328
RoCSI 37,48.500043,-11.862448
RoCSI 38,48.517293,-12.107518
RoCSI 39,48.536451,-12.342972
RoCSI 40,48.555329,-12.581912
CPR 14,48.574,-12.608
RoCSI 41,48.592075,-13.076693
RoCSI 42,48.59312033,-13.32442
RoCSI 43,48.628426,-13.58108
CPR 15,48.639,-13.609
RoCSI 44,48.647914,-13.842881
RoCSI 45,48.66826567,-14.103874
CPR 16,48.701,-14.611
RoCSI 46,48.705261,-14.615209
RoCSI 47,48.722536,-14.872286
RoCSI 48,48.743113,-15.137971
RoCSI 49,48.761133,-15.399198
CPR 17,48.777,-15.61
RoCSI 50,48.780199,-15.660369
RoCSI 51,48.818983,-16.185384
RoCSI 52,48.680836,-16.368351
CPR 18,48.676,-16.149
RoCSI 53,48.663566,-15.8007517
RoCSI 54,48.649883,-15.526393
CPR 19,48.646,-15.398
RoCSI 55,48.636404,-15.25688
RoCSI 56,48.622916,-14.98735633
RoCSI 57,48.609202,-14.711588
CPR 20,48.607,-14.394
RoCSI 58,48.58206,-14.16908
RoCSI 59,48.568587,-13.898906
RoCSI 60,48.55483,-13.623154
CPR 21,48.56,-13.392
RoCSI 61,48.541517,-13.358421
RoCSI 62,48.528649,-13.099676
RoCSI 63,48.62923,-12.581062
CPR 22,48.505,-12.393
RoCSI 64,48.491777,-12.325788
RoCSI 65,48.476676,-12.068737
RoCSI 66,48.465987,-11.808845
RoCSI 67,48.451011,-11.549885
CPR 23,48.442,-11.395
RoCSI 68,48.424358,-11.085066
RoCSI 69,48.417132,-10.859041
RoCSI 70,48.40661,-10.630182
CPR 24,48.384,-10.398
RoCSI 71,48.399845,-10.399845
RoCSI 72,48.367558,-9.788633
CPR 25,48.438,-9.574
RoCSI 73,48.525672,-9.307684
CPR 26,48.579,-9.12
RoCSI 74,48.602326,-9.051608
RoCSI 75,48.676065,-8.799952
CPR 27,48.719,-8.664
RoCSI 76,48.825214,-8.284623
CPR 28,48.846,-8.198
RoCSI 77,48.904318,-8.014886
RoCSI 78,48.978375,-7.762193
CPR 29,48.984,-7.739
RoCSI 79,49.118491,-7.274002
CPR 30,49.12,-7.276
RoCSI 80,49.184919,-7.048939
CPR 31,49.248,-6.807
RoCSI 81,49.258152,-6.804044
CPR 32,49.374,-6.334
RoCSI 82,49.391331,-6.344079
RoCSI 83,49.457855,-6.111241333
CPR 33,49.498,-5.86
RoCSI 84,49.528962,-5.874349
CPR 34,49.62,-5.384
RoCSI 85,49.672726,-5.373087
CPR 35,49.74,-4.905
CPR 36,49.858,-4.424
