sample,dada2_input,filtered,nonchim,final_perc_reads_retained,dada2_input,filtered,nonchim,final_perc
01-CPR_1_ID_1_,148213,128862,126330,85.2,144059,139400,104643,72.6
02-CPR_1_ID_2_,121841,105245,103807,85.2,91034,86400,82657,90.8
03-CPR_1_ID_3_,117632,96408,94945,80.7,77206,75069,65275,84.5
04-CPR_1_ID_4_,170195,135708,133962,78.7,99005,95927,88038,88.9
05-CPR_1_ID_5_,139036,124966,123177,88.6,143700,136891,130456,90.8
06-CPR_1_ID_7_,189844,172629,170302,89.7,100258,95319,91819,91.6
07-CPR_1_ID_8_,156940,134665,132550,84.5,163332,156331,150014,91.8
08-CPR_1_ID_9_,169359,155134,153346,90.5,56907,47951,46489,81.7
09-CPR_1_ID_10_,149202,134894,132964,89.1,164215,149580,141147,86
10-CPR_1_ID_12_,133358,109353,108318,81.2,82507,79597,75675,91.7
11-CPR_1_ID_13_,159171,119466,118219,74.3,133207,128803,122620,92.1
12-CPR_1_ID_14_,154920,82372,81798,52.8,127207,123701,117516,92.4
13-CPR_1_ID_15_,165533,100962,98756,59.7,181637,174765,167385,92.2
14-CPR_1_ID_16_,174055,154970,153105,88,137952,131771,126534,91.7
15-CPR_1_ID_18_,187464,141613,136443,72.8,119723,113684,109776,91.7
16-CPR_1_ID_19_,199073,165283,163680,82.2,57654,55146,51706,89.7
17-CPR_1_ID_20_,121858,107172,105402,86.5,70524,67331,64356,91.3
18-CPR_1_ID_21_,150714,142004,140604,93.3,207441,199025,193426,93.2
19-CPR_1_ID_22_,121155,98484,96981,80,174619,168282,162395,93
20-CPR_1_ID_23_,80435,66396,65169,81,119162,113276,109138,91.6
21-CPR_1_ID_24_,104984,92580,90811,86.5,185903,179594,173934,93.6
22-CPR_1_ID_26_,236346,191192,188534,79.8,202369,196976,190007,93.9
23-CPR_1_ID_27_,156485,137223,134112,85.7,101725,97126,92636,91.1
24-CPR_1_ID_28_,127353,111643,109821,86.2,170221,162524,155675,91.5
25-CPR_1_ID_29_,132416,116805,115151,87,139384,134544,127957,91.8
26-CPR_1_ID_30_,172100,162217,160855,93.5,112727,107640,104009,92.3
27-CPR_1_ID_31_,178342,167885,165400,92.7,119777,114101,108237,90.4
28-CPR_1_ID_32_,183002,172658,170208,93,163244,156129,151718,92.9
29-CPR_1_ID_34_,158952,143494,141092,88.8,136586,128685,124018,90.8
30-CPR_2_ID_1_,194720,169302,166858,85.7,139205,135316,129682,93.2
31-CPR_2_ID_3_,194060,171082,168250,86.7,212589,206838,198641,93.4
32-CPR_2_ID_4_,179081,148520,145983,81.5,53088,51392,48520,91.4
33-CPR_2_ID_5_,166777,142691,140932,84.5,237970,219557,206262,86.7
34-CPR_2_ID_6_,149638,132537,130439,87.2,77732,75401,71710,92.3
35-CPR_2_ID_7_,174663,145714,143138,82,81727,79459,75761,92.7
36-CPR_2_ID_9_,171703,141792,139921,81.5,207408,202506,195469,94.2
37-CPR_2_ID_10_,153543,137488,134897,87.9,144427,141116,135198,93.6
38-CPR_2_ID_11_,180363,152422,150795,83.6,221320,215203,207024,93.5
39-CPR_2_ID_12_,150636,122151,120213,79.8,365807,355825,342978,93.8
40-CPR_2_ID_13_,194784,180872,177058,90.9,135022,131227,124090,91.9
41-CPR_2_ID_15_,197928,174280,172050,86.9,193553,188006,180216,93.1
42-CPR_2_ID_16_,188135,175790,174228,92.6,147285,143187,137576,93.4
43-CPR_2_ID_17_,174942,145002,142740,81.6,174113,170004,163659,94
44-CPR_2_ID_18_,153984,135955,134263,87.2,131276,127604,122426,93.3
45-CPR_2_ID_19_,194789,161953,158427,81.3,128156,124223,117511,91.7
46-CPR_2_ID_21_,194608,174043,171831,88.3,160623,156266,149656,93.2
47-CPR_2_ID_22_,160941,131068,128824,80,183353,178208,171636,93.6
48-CPR_2_ID_23_,165931,148535,146897,88.5,89249,86797,83044,93
49-CPR_2_ID_24_,54433,50624,50116,92.1,116076,110431,104890,90.4
50-CPR_2_ID_25_,117781,101928,100424,85.3,125438,119556,113333,90.3
51-CPR_2_ID_27_,142756,107233,105385,73.8,30590,29864,27751,90.7
52-CPR_3_ID_1_,111133,85681,83994,75.6,188262,182359,174176,92.5
53-CPR_3_ID_3_,131736,110547,109180,82.9,149259,144930,138719,92.9
54-CPR_3_ID_4_,144501,127699,125997,87.2,348047,337956,325604,93.6
55-CPR_3_ID_5_,154373,138771,137538,89.1,162972,157261,151439,92.9
56-CPR_3_ID_6_,150617,135967,134698,89.4,235204,228457,220339,93.7
57-CPR_3_ID_7_,199644,184698,182638,91.5,165181,159075,150736,91.3
58-CPR_3_ID_9_,176030,161246,159690,90.7,101926,98194,93307,91.5
59-CPR_3_ID_10_,138047,128819,127705,92.5,78978,75907,72554,91.9
60-CPR_3_ID_11_,127549,111467,109994,86.2,764251,743533,713247,93.3
61-CPR_3_ID_12_,99488,89824,88534,89,152306,147417,141727,93.1
62-CPR_3_ID_13_,144619,129452,128198,88.6,127896,124206,119095,93.1
63-CPR_3_ID_15_,173235,144180,142702,82.4,292673,282276,271096,92.6
64-CPR_3_ID_16_,178289,143108,141138,79.2,34818,33694,31628,90.8
65-CPR_3_ID_17_,162707,126581,124884,76.8,250949,244820,234509,93.4
66-CPR_3_ID_18_,131876,106565,104364,79.1,110678,108129,103754,93.7
67-CPR_3_ID_19_,128988,102637,100914,78.2,58035,56351,53356,91.9
68-CPR_3_ID_21_,107663,92109,90482,84,172563,165373,158612,91.9
69-CPR_3_ID_22_,112212,96684,94953,84.6,173570,168441,158656,91.4
70-CPR_3_ID_23_,132352,113912,112257,84.8,148617,143765,137513,92.5
71-CPR_3_ID_24_,196535,174115,171928,87.5,405832,395478,382290,94.2
