"Latitude","Longitude","Midpoint_Date_Local","Year","Month","Chlorophyll_Index","Number","cpr","Inst","Position"
50.544,-1.246,2022-08-06 14:25:20,2022,8,1,1,"1","CPR",2
50.403,-1.996,2022-08-06 19:02:54,2022,8,2,2,"1","CPR",6
50.239,-3.003,2022-08-07 01:33:40,2022,8,2,3,"1","CPR",9
50.067,-4.006,2022-08-07 08:05:03,2022,8,6.5,4,"1","CPR",13
49.886,-4.999,2022-08-07 14:35:52,2022,8,2,5,"1","CPR",17
49.553,-5.889,2022-08-07 21:44:05,2022,8,6.5,6,"1","CPR",20
49.223,-6.774,2022-08-08 03:43:01,2022,8,1,7,"1","CPR",25
48.901,-7.661,2022-08-08 08:18:53,2022,8,1,8,"1","CPR",29
48.572,-8.538,2022-08-08 12:55:13,2022,8,1,9,"1","CPR",33
48.238,-9.403,2022-08-08 17:59:45,2022,8,1,10,"1","CPR",38
48.363,-9.877,2022-08-25 09:10:38,2022,8,1,11,"2","CPR",41
48.419,-10.618,2022-08-25 12:14:59,2022,8,2,12,"2","CPR",44
48.501,-11.612,2022-08-25 16:12:14,2022,8,1,13,"2","CPR",48
48.574,-12.608,2022-08-25 20:09:04,2022,8,1,14,"2","CPR",54
48.639,-13.609,2022-08-26 00:06:17,2022,8,1,15,"2","CPR",58
48.701,-14.611,2022-08-26 04:00:41,2022,8,1,16,"2","CPR",61
48.777,-15.61,2022-08-26 07:45:09,2022,8,2,17,"2","CPR",66
48.676,-16.149,2022-08-29 16:23:24,2022,8,1,18,"3","CPR",70
48.646,-15.398,2022-08-29 19:13:34,2022,8,1,19,"3","CPR",73
48.607,-14.394,2022-08-29 23:01:21,2022,8,1,20,"3","CPR",77
48.56,-13.392,2022-08-30 02:49:07,2022,8,1,21,"3","CPR",81
48.505,-12.393,2022-08-30 06:36:30,2022,8,1,22,"3","CPR",85
48.442,-11.395,2022-08-30 10:31:25,2022,8,1,23,"3","CPR",90
48.384,-10.398,2022-08-30 15:04:26,2022,8,1,24,"3","CPR",94
48.438,-9.574,2022-09-03 00:03:41,2022,9,0,25,"4","CPR",97
48.579,-9.12,2022-09-03 01:55:24,2022,9,2,26,"4","CPR",99
48.719,-8.664,2022-09-03 03:47:07,2022,9,1,27,"4","CPR",102
48.846,-8.198,2022-09-03 05:33:56,2022,9,1,28,"4","CPR",104
48.984,-7.739,2022-09-03 07:24:53,2022,9,1,29,"4","CPR",107
49.12,-7.276,2022-09-03 09:11:14,2022,9,1,30,"4","CPR",109
49.248,-6.807,2022-09-03 10:31:32,2022,9,1,31,"4","CPR",111
49.374,-6.334,2022-09-03 11:52:08,2022,9,1,32,"4","CPR",113
49.498,-5.86,2022-09-03 13:12:26,2022,9,1,33,"4","CPR",116
49.62,-5.384,2022-09-03 14:32:44,2022,9,1,34,"4","CPR",118
49.74,-4.905,2022-09-03 15:53:04,2022,9,2,35,"4","CPR",120
49.858,-4.424,2022-09-03 17:13:24,2022,9,6.5,36,"4","CPR",121
