Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism
Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,helgolandicus,Calanus helgolandicus
Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,gracilis,Neocalanus gracilis
Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Nannocalanus,minor,Nannocalanus minor
Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Euchaeta,acuta,Euchaeta acuta
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Metridia,lucens,Metridia lucens
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Pleuromamma,abdominalis,Pleuromamma abdominalis
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Pleuromamma,borealis,Pleuromamma borealis
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Pleuromamma,gracilis,Pleuromamma gracilis
Animalia,Arthropoda,Malacostraca,Amphipoda,N/A,N/A,N/A,Gammaridea
Animalia,Arthropoda,Malacostraca,Amphipoda,N/A,N/A,N/A,Hyperiidea (Total)
Animalia,Arthropoda,Malacostraca,Decapoda,N/A,N/A,N/A,Decapoda larvae (Total)
Animalia,Arthropoda,Malacostraca,Euphausiacea,N/A,N/A,N/A,Euphausiacea Total
Animalia,Chaetognatha,Sagittoidea,N/A,N/A,N/A,N/A,Chaetognatha eyecount
Animalia,Chordata,N/A,N/A,N/A,N/A,N/A,Fish eggs (Total)
Animalia,Chordata,N/A,N/A,N/A,N/A,N/A,Fish larvae
Animalia,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,bradyi,Centropages bradyi
Animalia,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,violaceus,Centropages violaceus
Animalia,Arthropoda,Hexanauplia,Calanoida,Heterorhabdidae,Heterorhabdus,papilliger,Heterorhabdus papilliger
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Pleuromamma,piseki,Pleuromamma piseki
Animalia,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,N/A,Candacia spp. (Unidentified)
Animalia,Arthropoda,Hexanauplia,Calanoida,Metridiidae,Pleuromamma,N/A,Pleuromamma spp. (Unidentified)
Animalia,Cnidaria,Hydrozoa,Siphonophorae,N/A,N/A,N/A,Siphonophora
Animalia,Arthropoda,Malacostraca,Cumacea,N/A,N/A,N/A,Cumacea
Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,N/A,N/A,Sergestidae
Animalia,Arthropoda,Malacostraca,Isopoda,N/A,N/A,N/A,Isopoda (Total)
