Class,Order,Family,Genus
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Amphorides
Oligotrichea,Choreotrichida,Tintinnidae,Amphorides
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Salpingella
Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Sundstroemia
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Salpingella
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Salpingella
Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Sundstroemia
Oligotrichea,Choreotrichida,Tintinnida_incertae_sedis,Rhizodomus
Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia
Oligotrichea,Choreotrichida,Tintinnida_incertae_sedis,Rhizodomus
Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia
Oligotrichea,Choreotrichida,Tintinnidae,NA
Oligotrichea,Choreotrichida,Tintinnidae,NA
Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,NA
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
Oligotrichea,Choreotrichida,Tintinnidae,Eutintinnus
